GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
eric-swgwda,com.ericsson.swgw.da.dms,DMSService,186,0,8,0,45,0,8,0,4,0
eric-swgwda,com.ericsson.swgw.da.constants,Constants,7,0,0,0,2,0,1,0,1,0
eric-swgwda,com.ericsson.swgw.da.constants,DBConstants,7,0,0,0,2,0,1,0,1,0
eric-swgwda,com.ericsson.swgw.da.constants,IntegrationConstants,7,0,0,0,2,0,1,0,1,0
eric-swgwda,com.ericsson.swgw.da.constants,IniConstants,7,0,0,0,2,0,1,0,1,0
eric-swgwda,com.ericsson.swgw.da.properties,IniConfig,860,270,175,23,133,52,146,12,47,12
eric-swgwda,com.ericsson.swgw.da.exception,ChecksumMismatchException,15,0,0,0,2,0,1,0,1,0
eric-swgwda,com.ericsson.swgw.da.exception,SignatureValidationException,19,0,0,0,4,0,2,0,2,0
eric-swgwda,com.ericsson.swgw.da.exception,CustomException,8,0,0,0,4,0,2,0,2,0
eric-swgwda,com.ericsson.swgw.da.validations,PayloadValidation,226,337,67,35,50,45,51,3,1,2
eric-swgwda,com.ericsson.swgw.da.validations,ChecksumValidation,553,0,36,0,110,0,26,0,8,0
eric-swgwda,com.ericsson.swgw.da.validations,SignatureValidation,512,0,20,0,118,0,14,0,4,0
eric-swgwda,com.ericsson.swgw.da.actions,Scanning,1238,0,128,0,239,0,72,0,8,0
eric-swgwda,com.ericsson.swgw.da.actions,FileTransfer,298,0,22,0,80,0,17,0,6,0
eric-swgwda,com.ericsson.swgw.da.actions,TriggerDownloadNotification,1249,39,113,1,239,10,60,2,3,2
eric-swgwda,com.ericsson.swgw.da.model,Referencedocument,368,0,30,0,73,0,24,0,9,0
eric-swgwda,com.ericsson.swgw.da.utils,PullUtils,332,44,25,1,77,12,16,2,3,2
eric-swgwda,com.ericsson.swgw.da.utils,StringUtils,5,19,1,5,1,6,2,3,1,1
eric-swgwda,com.ericsson.swgw.da.utils,FileUtils,379,322,50,14,93,67,38,9,6,9
eric-swgwda,com.ericsson.swgw.da.utils,HttpClientUtils,54,33,6,2,14,10,8,4,4,4
eric-swgwda,com.ericsson.swgw.da.utils,ChecksumUtils,124,0,4,0,28,0,7,0,5,0
eric-swgwda,com.ericsson.swgw.da.services,PullProductService,202,0,8,0,45,0,9,0,5,0
eric-swgwda,com.ericsson.swgw.da.services,PullTicketXMLService,150,0,8,0,41,0,12,0,8,0
eric-swgwda,com.ericsson.swgw.da.services,Referencedocurls,266,0,6,0,58,0,10,0,7,0
eric-swgwda,com.ericsson.swgw.da.services,DASftpConnection,225,0,14,0,72,0,17,0,10,0
eric-swgwda,com.ericsson.swgw.da.services,DAFtpConnection,150,0,10,0,33,0,12,0,7,0
eric-swgwda,com.ericsson.swgw.da.services,AzureTokenService,87,146,10,10,27,37,11,3,1,3
eric-swgwda,com.ericsson.swgw.da.filter,ProductFilter,53,42,10,4,12,14,8,4,1,4
eric-swgwda,com.ericsson.swgw.da.json.parser,TicketXmlChecksum,17,0,0,0,7,0,5,0,5,0
eric-swgwda,com.ericsson.swgw.da.integrations,kms_vault_hvac_integration,64,0,4,0,15,0,7,0,5,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,Ticket.Boxes.Box.Documents,29,0,2,0,7,0,4,0,3,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,Ticket,35,0,0,0,14,0,10,0,10,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,Ticket.Boxes.Box.Documents.Document,38,0,0,0,16,0,11,0,11,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,FTPFile,144,0,8,0,45,0,30,0,26,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,SignDocument,126,0,2,0,51,0,31,0,30,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,Ticket.Boxes,29,0,2,0,7,0,4,0,3,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,Ticket.Boxes.Box,73,0,0,0,31,0,21,0,21,0
eric-swgwda,com.ericsson.swgw.da.bean,Webhook,9,54,0,2,3,19,3,10,3,9
eric-swgwda,com.ericsson.swgw.da.bean,Products,12,26,0,0,4,12,4,7,4,7
eric-swgwda,com.ericsson.swgw.da.bean,DMSBean,87,0,2,0,28,0,15,0,14,0
eric-swgwda,com.ericsson.swgw.da.bean,Checksum,6,11,0,0,2,5,2,3,2,3
eric-swgwda,com.ericsson.swgw.da.controller,Listener.CustomPort,0,10,0,0,0,3,0,2,0,2
eric-swgwda,com.ericsson.swgw.da.controller,Listener.new Thread() {...},11,10,0,0,6,2,0,2,0,2
eric-swgwda,com.ericsson.swgw.da.controller,Listener.DynamicSchedulingConfig.new Runnable() {...},0,8,0,0,0,3,0,2,0,2
eric-swgwda,com.ericsson.swgw.da.controller,Listener.DynamicSchedulingConfig.new Trigger() {...},0,21,0,0,0,7,0,2,0,2
eric-swgwda,com.ericsson.swgw.da.controller,Listener.DynamicSchedulingConfig,0,23,0,0,0,5,0,3,0,3
eric-swgwda,com.ericsson.swgw.da.controller,Listener,137,412,27,21,35,104,24,13,0,13
eric-swgwda,com.ericsson.swgw.da.controller,Listener.DistributionAgentMode,73,18,12,2,22,5,8,2,1,2
eric-swgwda,com.ericsson.swgw.da.controller,ControllerApplication,0,3,0,0,0,1,0,1,0,1
eric-swgwda,com.ericsson.swgw.da.database,DerbyDBService,66,154,14,12,23,52,13,6,1,5
eric-swgwda,com.ericsson.swgw.da.database,DBInitializer,4,0,0,0,2,0,2,0,2,0
eric-swgwda,com.ericsson.swgw.da.database,DBUtils,143,141,7,3,39,36,9,3,4,3
eric-swgwda,com.ericsson.swgw.da.database,DBService,118,76,5,3,28,24,6,5,2,5
eric-swgwda,com.ericsson.swgw.da.swgw.bean,TicketXMLGenerator,31,0,0,0,13,0,9,0,9,0
eric-swgwda,com.ericsson.swgw.da.swgw.bean,SWGReferenceDocs.ReleaseDocs.ReleaseDoc,31,0,0,0,13,0,9,0,9,0
eric-swgwda,com.ericsson.swgw.da.swgw.bean,TicketXMLGenerator.Boxes.Box.Documents,18,0,2,0,6,0,4,0,3,0
eric-swgwda,com.ericsson.swgw.da.swgw.bean,SWGReferenceDocs.ENMDocuments,18,0,2,0,6,0,4,0,3,0
eric-swgwda,com.ericsson.swgw.da.swgw.bean,SWGReferenceDocs,24,0,0,0,10,0,7,0,7,0
eric-swgwda,com.ericsson.swgw.da.swgw.bean,SWGReferenceDocs.ENMDocuments.ENMDocument,31,0,0,0,13,0,9,0,9,0
eric-swgwda,com.ericsson.swgw.da.swgw.bean,TicketXMLGenerator.Boxes,18,0,2,0,6,0,4,0,3,0
eric-swgwda,com.ericsson.swgw.da.swgw.bean,TicketXMLGenerator.Boxes.Box.Documents.Document,38,0,0,0,16,0,11,0,11,0
eric-swgwda,com.ericsson.swgw.da.swgw.bean,SWGReferenceDocs.ReleaseDocs,18,0,2,0,6,0,4,0,3,0
eric-swgwda,com.ericsson.swgw.da.swgw.bean,TicketXMLGenerator.Boxes.Box,87,0,0,0,37,0,25,0,25,0
