GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
eric-swgwda,com.ericsson.swgw.da.dms,DMSService,186,0,8,0,45,0,8,0,4,0
eric-swgwda,com.ericsson.swgw.da.constants,Constants,7,0,0,0,2,0,1,0,1,0
eric-swgwda,com.ericsson.swgw.da.constants,DBConstants,7,0,0,0,2,0,1,0,1,0
eric-swgwda,com.ericsson.swgw.da.constants,IntegrationConstants,7,0,0,0,2,0,1,0,1,0
eric-swgwda,com.ericsson.swgw.da.constants,IniConstants,7,0,0,0,2,0,1,0,1,0
eric-swgwda,com.ericsson.swgw.da.properties,IniConfig,704,422,159,39,128,72,138,20,39,20
eric-swgwda,com.ericsson.swgw.da.exception,ChecksumMismatchException,0,15,0,0,0,2,0,1,0,1
eric-swgwda,com.ericsson.swgw.da.exception,SignatureValidationException,19,0,0,0,4,0,2,0,2,0
eric-swgwda,com.ericsson.swgw.da.exception,CustomException,8,0,0,0,4,0,2,0,2,0
eric-swgwda,com.ericsson.swgw.da.validations,PayloadValidation,226,337,67,35,50,45,51,3,1,2
eric-swgwda,com.ericsson.swgw.da.validations,ChecksumValidation,111,442,17,19,19,91,17,9,1,7
eric-swgwda,com.ericsson.swgw.da.validations,SignatureValidation,85,427,9,11,22,96,10,4,1,3
eric-swgwda,com.ericsson.swgw.da.actions,Scanning,1079,159,118,10,200,39,64,8,3,5
eric-swgwda,com.ericsson.swgw.da.actions,FileTransfer,298,0,22,0,80,0,17,0,6,0
eric-swgwda,com.ericsson.swgw.da.actions,TriggerDownloadNotification,574,714,69,45,100,149,52,10,2,3
eric-swgwda,com.ericsson.swgw.da.model,Referencedocument,61,307,14,16,12,61,14,10,1,8
eric-swgwda,com.ericsson.swgw.da.utils,PullUtils,80,296,12,14,21,68,11,7,1,4
eric-swgwda,com.ericsson.swgw.da.utils,StringUtils,5,19,1,5,1,6,2,3,1,1
eric-swgwda,com.ericsson.swgw.da.utils,FileUtils,379,322,50,14,93,67,38,9,6,9
eric-swgwda,com.ericsson.swgw.da.utils,HttpClientUtils,54,33,6,2,14,10,8,4,4,4
eric-swgwda,com.ericsson.swgw.da.utils,ChecksumUtils,70,54,2,2,16,12,4,3,2,3
eric-swgwda,com.ericsson.swgw.da.services,PullProductService,74,128,7,1,13,32,5,4,1,4
eric-swgwda,com.ericsson.swgw.da.services,PullTicketXMLService,50,100,5,3,15,26,6,6,2,6
eric-swgwda,com.ericsson.swgw.da.services,Referencedocurls,21,245,3,3,5,53,3,7,0,7
eric-swgwda,com.ericsson.swgw.da.services,DASftpConnection,159,66,13,1,50,22,13,4,6,4
eric-swgwda,com.ericsson.swgw.da.services,DAFtpConnection,150,0,10,0,33,0,12,0,7,0
eric-swgwda,com.ericsson.swgw.da.services,AzureTokenService,87,146,10,10,27,37,11,3,1,3
eric-swgwda,com.ericsson.swgw.da.filter,ProductFilter,53,42,10,4,12,14,8,4,1,4
eric-swgwda,com.ericsson.swgw.da.json.parser,TicketXmlChecksum,17,0,0,0,7,0,5,0,5,0
eric-swgwda,com.ericsson.swgw.da.integrations,kms_vault_hvac_integration,64,0,4,0,15,0,7,0,5,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,Ticket.Boxes.Box.Documents,29,0,2,0,7,0,4,0,3,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,Ticket,35,0,0,0,14,0,10,0,10,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,Ticket.Boxes.Box.Documents.Document,38,0,0,0,16,0,11,0,11,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,FTPFile,144,0,8,0,45,0,30,0,26,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,SignDocument,126,0,2,0,51,0,31,0,30,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,Ticket.Boxes,29,0,2,0,7,0,4,0,3,0
eric-swgwda,com.ericsson.swgw.da.xml.parser,Ticket.Boxes.Box,73,0,0,0,31,0,21,0,21,0
eric-swgwda,com.ericsson.swgw.da.bean,Webhook,6,57,0,2,2,20,2,11,2,10
eric-swgwda,com.ericsson.swgw.da.bean,Products,6,32,0,0,2,14,2,9,2,9
eric-swgwda,com.ericsson.swgw.da.bean,DMSBean,87,0,2,0,28,0,15,0,14,0
eric-swgwda,com.ericsson.swgw.da.bean,Checksum,0,17,0,0,0,7,0,5,0,5
eric-swgwda,com.ericsson.swgw.da.controller,Listener.CustomPort,0,10,0,0,0,3,0,2,0,2
eric-swgwda,com.ericsson.swgw.da.controller,Listener.new Thread() {...},3,14,0,0,2,5,0,2,0,2
eric-swgwda,com.ericsson.swgw.da.controller,Listener.DynamicSchedulingConfig.new Runnable() {...},0,8,0,0,0,3,0,2,0,2
eric-swgwda,com.ericsson.swgw.da.controller,Listener.DynamicSchedulingConfig.new Trigger() {...},0,21,0,0,0,7,0,2,0,2
eric-swgwda,com.ericsson.swgw.da.controller,Listener.DynamicSchedulingConfig,0,23,0,0,0,5,0,3,0,3
eric-swgwda,com.ericsson.swgw.da.controller,Listener,137,412,27,21,35,104,24,13,0,13
eric-swgwda,com.ericsson.swgw.da.controller,Listener.DistributionAgentMode,9,78,6,6,4,22,7,2,1,2
eric-swgwda,com.ericsson.swgw.da.controller,ControllerApplication,0,3,0,0,0,1,0,1,0,1
eric-swgwda,com.ericsson.swgw.da.database,DerbyDBService,66,154,14,12,23,52,13,6,1,5
eric-swgwda,com.ericsson.swgw.da.database,DBInitializer,4,0,0,0,2,0,2,0,2,0
eric-swgwda,com.ericsson.swgw.da.database,DBUtils,143,139,7,3,39,36,9,3,4,3
eric-swgwda,com.ericsson.swgw.da.database,DBService,118,76,5,3,28,24,6,5,2,5
eric-swgwda,com.ericsson.swgw.da.swgw.bean,TicketXMLGenerator,25,6,0,0,11,2,7,2,7,2
eric-swgwda,com.ericsson.swgw.da.swgw.bean,SWGReferenceDocs.ReleaseDocs.ReleaseDoc,19,12,0,0,9,4,5,4,5,4
eric-swgwda,com.ericsson.swgw.da.swgw.bean,TicketXMLGenerator.Boxes.Box.Documents,15,3,2,0,5,1,3,1,2,1
eric-swgwda,com.ericsson.swgw.da.swgw.bean,SWGReferenceDocs.ENMDocuments,9,9,1,1,3,3,2,2,1,2
eric-swgwda,com.ericsson.swgw.da.swgw.bean,SWGReferenceDocs,15,9,0,0,7,3,4,3,4,3
eric-swgwda,com.ericsson.swgw.da.swgw.bean,SWGReferenceDocs.ENMDocuments.ENMDocument,22,9,0,0,10,3,6,3,6,3
eric-swgwda,com.ericsson.swgw.da.swgw.bean,TicketXMLGenerator.Boxes,9,9,1,1,3,3,2,2,1,2
eric-swgwda,com.ericsson.swgw.da.swgw.bean,TicketXMLGenerator.Boxes.Box.Documents.Document,35,3,0,0,15,1,10,1,10,1
eric-swgwda,com.ericsson.swgw.da.swgw.bean,SWGReferenceDocs.ReleaseDocs,9,9,1,1,3,3,2,2,1,2
eric-swgwda,com.ericsson.swgw.da.swgw.bean,TicketXMLGenerator.Boxes.Box,69,18,0,0,31,6,19,6,19,6
